Date,Open,High,Low,Close,Adj Close,Volume
2009-03-04,5.297143,5.458571,5.155715,5.387143,5.387143,14490000
2009-03-05,5.245714,5.520000,5.240000,5.414286,5.414286,11335100
2009-03-06,5.497143,5.542857,5.272857,5.454286,5.454286,8729700
2009-03-09,5.458571,5.695714,5.434286,5.500000,5.500000,11848900
2009-03-10,5.601429,5.684286,5.457143,5.500000,5.500000,16337300
2009-03-11,5.512857,5.550000,5.285714,5.355714,5.355714,11030600
2009-03-12,5.258572,5.714286,5.214286,5.708571,5.708571,14080500
2009-03-13,5.704286,5.714286,5.540000,5.624286,5.624286,9539600
2009-03-16,5.668571,5.764286,5.511428,5.522857,5.522857,12023900
2009-03-17,5.535714,5.827143,5.444286,5.827143,5.827143,11903500
2009-03-18,5.814286,6.064286,5.735714,5.945714,5.945714,16355500
2009-03-19,6.064286,6.064286,5.891428,5.930000,5.930000,12115600
2009-03-20,5.972857,6.037143,5.820000,5.950000,5.950000,13117300
2009-03-23,5.950000,6.200000,5.800000,6.200000,6.200000,14639800
2009-03-24,6.145714,6.345714,6.135714,6.202857,6.202857,12205200
2009-03-25,6.175714,6.257143,5.771429,5.937143,5.937143,18686500
2009-03-26,5.958571,6.054286,5.912857,5.964286,5.964286,14459900
2009-03-27,5.891428,5.891428,5.630000,5.668571,5.668571,11035500
2009-03-30,5.644286,6.048572,5.578571,6.004286,6.004286,19396300
2009-03-31,6.030000,6.281428,5.952857,6.131429,6.131429,12718300
2009-04-01,6.111429,6.282857,6.017143,6.124286,6.124286,10427900
2009-04-02,6.252857,6.275714,6.141428,6.161428,6.161428,11048800
2009-04-03,6.152857,6.264286,6.081429,6.152857,6.152857,7205800
2009-04-06,6.141428,6.377143,6.100000,6.357143,6.357143,12506900
2009-04-07,6.350000,6.414286,6.227143,6.242857,6.242857,8216600
2009-04-08,6.301429,6.381429,6.274286,6.325714,6.325714,6576500
2009-04-09,6.362857,6.712857,6.314286,6.707143,6.707143,13811000
2009-04-13,6.707143,7.177143,6.628572,7.060000,7.060000,26653200
2009-04-14,6.947143,6.971428,6.780000,6.828571,6.828571,16957500
2009-04-15,6.757143,6.808571,6.517143,6.655715,6.655715,10913000
2009-04-16,6.678571,6.948571,6.612857,6.895714,6.895714,9825200
2009-04-17,6.871428,7.015714,6.787143,6.975714,6.975714,8985900
2009-04-20,6.968572,7.101429,6.845714,7.087143,7.087143,10650500
2009-04-21,7.062857,7.070000,6.397143,6.657143,6.657143,24563000
2009-04-22,6.582857,6.831429,6.475714,6.554286,6.554286,12685400
2009-04-23,6.540000,6.568572,6.215714,6.474286,6.474286,24576300
2009-04-24,6.218572,6.262857,6.011428,6.104286,6.104286,30082500
2009-04-27,6.277143,6.685714,6.231429,6.624286,6.624286,29344700
